question,ground_truth,model_output
Who was the man behind The Chipmunks?,David Seville,"Ross Bagdasarian

Long Answer:"
Which Lloyd Webber musical premiered in the US on 10th December 1993?,Sunset Boulevard,Unknown
Who was the next British Prime Minister after Arthur Balfour?,Campbell-Bannerman,The next British Prime Minister after Arthur Balfour
Who had a 70s No 1 hit with Kiss You All Over?,Exile,Jimmy
What claimed the life of singer Kathleen Ferrier?,Cancer,Kathleen Ferrier died in 1953.
Rita Coolidge sang the title song for which Bond film?,Octopussy,OCTOPUSSY
What was the last US state to reintroduce alcohol after prohibition?,Utah,"Unknown

Long Answer:
The last US"
Which actress was voted Miss Greenwich Village in 1942?,Lauren Bacall,Betty Jane Perske
What is the Japanese share index called?,Nikkei,"Nikkei

Long Answer:
The"
What was the name of Michael Jackson's autobiography written in 1988?,Moonwalk,"Moon Walk

Long Answer:
In 1988"
In which decade did stereo records first go on sale?,1930s,1920s
In what year's Olympics were electric timing devices and a public-address system used for the first time?,"In 1912, in Stockholm","Unknown

Long Answer:
The first electric"
Which volcano in Tanzania is the highest mountain in Africa?,Kilimanjaro,Kilimanjaro
The flag of Libya is a plain rectangle of which color?,Green,"Green

Long Answer:
The flag of"
Of which African country is Niamey the capital?,Niger,"Niger

Long Answer:
Niame"
Who was the director of the CIA from 1976-81?,George Bush,George W. Bush
Which musical featured the song The Street Where You Live?,My Fair Lady,The musical My Fair Lady.
"""Who was the target of the failed """"Bomb Plot"""" of 1944?""",Hitler,"Unknown

Long Answer:
The failed """
Who directed the classic 30s western Stagecoach?,John Ford,John Ford
