question,ground_truth,model_output
Who was the man behind The Chipmunks?,David Seville,The Chipmunks were created by Ross Bagd
Which Lloyd Webber musical premiered in the US on 10th December 1993?,Sunset Boulevard,"The Phantom of the Opera.

Exercise"
Who was the next British Prime Minister after Arthur Balfour?,Campbell-Bannerman,The next British Prime Minister after Arthur Balfour
Who had a 70s No 1 hit with Kiss You All Over?,Exile,The band Kiss had a 70s No 1 hit
What claimed the life of singer Kathleen Ferrier?,Cancer,Kathleen Ferrier died in a car accident
Rita Coolidge sang the title song for which Bond film?,Octopussy,Rita Coolidge sang the title song for the
What was the last US state to reintroduce alcohol after prohibition?,Utah,The last US state to reintroduce alcohol after prohibition
Which actress was voted Miss Greenwich Village in 1942?,Lauren Bacall,The actress voted Miss Greenwich Village in 1942 was not
What is the Japanese share index called?,Nikkei,The Japanese share index is called the Nikkei
What was the name of Michael Jackson's autobiography written in 1988?,Moonwalk,The name of Michael Jackson's autobiography written in 1988
In which decade did stereo records first go on sale?,1930s,Stereo records first went on sale in the 1960
In what year's Olympics were electric timing devices and a public-address system used for the first time?,"In 1912, in Stockholm","1936.

Exercise 3:"
Which volcano in Tanzania is the highest mountain in Africa?,Kilimanjaro,"Mount Kilimanjaro.

Exercise"
The flag of Libya is a plain rectangle of which color?,Green,The flag of Libya is a plain rectangle of green
Of which African country is Niamey the capital?,Niger,The capital of Niger is Niamey.
Who was the director of the CIA from 1976-81?,George Bush,The director of the CIA from 1976-81 was
Which musical featured the song The Street Where You Live?,My Fair Lady,"The musical ""The Street Where You Live"" featured"
"""Who was the target of the failed """"Bomb Plot"""" of 1944?""",Hitler,"""The target of the failed """"Bomb Plot"""""
Who directed the classic 30s western Stagecoach?,John Ford,The classic 30s western Stagecoach was directed
